WORD, PART OF SPEECH, DEFINITION
Enzyme,noun, catalyst           
Epicurean,adjective, devoted to pleasure (sensuous enjoyment)       
Epistle,noun, letter           
Epithet,noun, adjective           
Epitome,noun, brief summary representative example a typical model     
Equable,adjective, steady regular          
Equanimity,noun, calmness of temperament         
Equilibrium,noun, state of being balanced        
Equipoise,noun, equal distribution of weight equilibrium       
Equivocal,adjective, having a double or doubtful meaning suspicious     
Equivocate,noun, try to deceive by equivocal language      
Eradicate,verb, get rid of pull up by the roots    
Erratic,adjective, irregular in behaviour or opinion       
Erudite,adjective, learned scholarly          
Eschew,verb, avoid         
Esoteric,adjective, abstruse intended only for a small circle of    
Espouse,verb, marry give one's support to       
Eulogy,noun, formal praise panegyric         
Euphoria,noun, elation state of pleasant excitement       
Euthanasia,noun, easy and painless death        
Evasive,adjective, tending to evade       
Evince,verb, to show clearly to indicate       
Evoke,verb, call up bring out        
Excoriation,noun, severe criticism          
Exculpate,noun, to clear from a charge of guilt     
Exhaustive,adjective, complete thorough          
Exigency,noun, emergency an urgent situation        
Exoneration,noun, set someone clear free (e.g.. from blame)     
Exorbitant,adjective, much too high or great       
Expatiate,verb, to roam wander freely        
Expedient,adjective, likely to be useful for a purpose     
Expiation,noun, ending expiring          
Exploit,verb, brilliant achievement develop use selfishly       
Expostulate,verb, argue earnestly to dissuade correct or protest     
Expurgate,verb, to remove obscenity purify censor       
Exscind,verb, to cut out cut away       
Extant,adjective, still in existence         
Extempore,noun, without previous thought or preparation     
Extenuate,verb, reduce the strength of lessen seriousness partially excuse    
Extinct,adjective, no longer active         
Extinguish,verb, end the existence of/wipe or put out   
Extirpate,verb, to destroy exterminate cut out exscind      
Extol,verb, praise highly          
Extort,verb, obtain by threats violence        
Extralegal,noun, outside the law         
Extricable,adjective, that can be freed        
Extrovert,noun, cheerful person          
Exuberance,noun, state of growing vigorously being full of life    
Facetious,adjective, humorous funny jocular         
Facile,adjective, easily done          
Fallacious,adjective, based on error         
Falter,verb, waver/move in an uncertain manner     
Fatuous,adjective, without sense foolish self-satisfaction        
Fawn,noun, young deer try to win someone's favor     
Feckless,adjective, lacking purpose or vitality ineffective careless      
Fecund,adjective, fertile           
Feint,verb, pretend           
Felicitous,adjective, apt suitably expressed well chosen apropos      
Felon,noun, person guilty of murder        
Ferment,verb, substance become excited         
Ferocity,noun, savage cruelty          
Ferret,noun, discover by searching search        
Fervid,adjective, showing earnest feeling         
Fervor,noun, warmth of feelings earnestness        
Fetid,adjective, stinking         
Fetter,noun, to shackle put in chains       
Feud,noun, bitter quarrel over a long period of time    
Fidelity,noun, loyalty accuracy          
Fidget,verb, move restlessly make nervous        
Figurehead,noun, carved image on the prow of a ship    
Finesse,noun, delicate way of dealing with a situation     
Finical,adjective, too fussy about food clothing etc.      
Finicky,adjective, finical           
Fission,noun, splitting or division (esp. of cells)      
Fixate,verb, stare at          
Flak,noun, criticism/anti-aircraft guns        
Flamboyant,adjective, brightly colored florid         
Flaunting,verb, show off complacently         
Flax,noun, pale yellow (hair) a plant       
Fledged,adjective, able to fly trained experienced       
Fleet,noun, number of ships quick-moving        
Flinch,verb, draw move back wince        
Flop,verb, fail/move/fall clumsily        
Florid,adjective, very much ornamented naturally red (e.g.. of face)    
Flout,verb, reject mock to go against (as in going against tradition)  
Fluke,noun, lucky stroke        
Fluster,verb, make nervous or confused        
Foible,noun, defect of character (a person is wrongly proud)    
Foil,noun, prevent from carrying out contrast       
Foment,verb, put something warm (to lessen the pain)     
Foolproof,adjective, incapable of failure or error     
Foppish,adjective, like a man who pays too much attention to his clothes 
Forage,verb, food for horses and cattle     
Forbear,adjective, refrain from be patient ancestor       
Forbearance,noun, patience willingness to wait        
Ford,noun, shallow place in a river (to cross)     
Forestall,verb, prevent by taking action in advance preempt     
Forfeit,noun, suffer the loss of something       
Forge,noun, workshop for the shaping of metal to shape metal lead  
Forgery,noun, counterfeit           
Forswear,adjective, renounce disallow repudiate         
Foster,noun, nurture care for         
Fracas,noun, noisy quarrel        
Fragile,adjective, easily injured broken or destroyed       
Fragrant,adjective, sweet-smelling           
Frantic,adjective, wildly excited with joy pain anxiety      
Frenetic,adjective, frantic frenzied          
Fret,verb, worry irritation wear away        
Fringe,noun, edge ornamental border part of hair over the forehead   
Froward,adjective, intractable not willing to yield or comply stubborn    
Frugal,adjective, careful economical          
Fulmination,noun, bitter protest          
Fulsome,adjective, disgusting offensive due to excessiveness       
Gainsay,verb, to deny to oppose
Garble,verb, make unfair selection from facts     
Garment,noun, article of clothing         
Garner,verb, to gather and save to store up     
Garrulity,adjective, talkativeness           
Garrulous,adjective, too talkative          
Gaucherie,noun, socially awkward tactless behavior        
Germane,adjective, relevant pertinent to         
Gist,noun, the point general sense        
Glean,verb, gather facts in small quantities       
Glib,adjective, ready and smooth but not sincere      
Glimmer,noun, weak/unsteady light        
Gloat,verb, over look at with selfish delight      
Glut,noun, supply to much fill to excess      
Gnaw,verb, waste away bite steadily        
Goad,noun, something urging a person to action      
Gorge,verb, eat greedily/narrow opening with a stream    
Gossamer,adjective, soft light delicate material        
Gouge,noun, tool for cutting grooves in wood      
Grandiloquent,adjective, using pompous words       
Grave,noun, serious requiring consideration         
Graze,verb, touch or scrape lightly in passing    
Gregarious,adjective, living in societies liking the company      
Grievous,adjective, causing grief or pain serious dire grave     
Grovel,verb, crawl humble oneself         
Guile,noun, deceit cunning          
Gullible,adjective, easily gulled          
Gush,verb, burst out suddenly/talk ardently      
Gust,noun, outburst of feeling sudden rain wind fire etc.    
Hack,verb, cut roughly hired horse        
Halcyon,adjective, calm and peaceful       
Hallow,adjective, to make holy consecrate        
Harangue,noun, a long passionate speech        
Harbinger,noun, something or someone that foretells the coming of    
Harrow,noun, to distress create stress or torment      
Haughty,adjective, arrogant conceited          
Heed,verb, attention/give notice to       
Heinous,adjective, odious (of crime)         
Heresy,noun, belief contrary to what is generally accepted     
Hermetic,adjective, sealed by fusion         
Heterogeneous,adjective, made up of different kinds       
Hew,verb, make by hard work cut (by striking)     
Highbrow,noun, (person) with superior tastes      
Hirsute,adjective, hairy shaggy          
Hoax,noun, mischievous trick played on someone for a joke    
Hoi,noun, polloi the masses the rabble       
Hollow,adjective, not soled with hole        
Holster,noun, leather case for a pistol       
Homiletics,noun, act of preaching       
Hone,verb, stone used for sharpening tools       
Hoodwink,verb, trick mislead          
Hospitable,adjective, liking to give hospitality        
Hubris,noun, arrogant pride          
Hush,verb, make or become silent      
Husk,noun, worthless outside part of anything       
Hypocrisy,noun, falsely making oneself appear to be good     
Iconoclast,noun, person who attacks popular beliefs       
Idiosyncrasy,noun, personal mannerism          
Idolatry,noun, excessive admiration of         
Idyll,noun, a carefree episode or experience       
Ignoble,adjective, dishonorable common undignified         
Ignominious,adjective, shameful dishonorable undignified disgraceful        
Illicit,adjective, unlawful forbidden          
Imbroglio,noun, complicated and embarrassing situation        
Immaculate,adjective, pure faultless          
Imminent,adjective, likely to come or happen soon      
Immutable,adjective, that cannot be changed        
Impair,verb, worsen diminish in value        
Impassive,adjective, unmoved feeling no sign of passion      
Impecunious,adjective, having little or no money       
Impede,verb, hinder get in the way of      
Impediment,noun, something that hinders (e.g. stammer)       
Impending,adjective, imminent being about to happen expected      
Imperative,adjective, urgent essential          
Imperious,adjective, commanding haughty arrogant         
Impermeable,adjective, that cannot be permeated        
Imperturbable,adjective, calm not capable of being excited      
Impervious,adjective, not allowing to pass through (of materials)     
Imperviousness,noun, haughty arrogant commanding         
Impetuous,adjective, having sudden energy impulsive thrusting ahead forceful     
Impiety,noun, lack of reverence or dutifulness       
Implacable,adjective, incapable of being placated unpleasable       
Implicate,verb, show that someone has a share      
Implicit,adjective, implied though not plainly expressed       
Implosion,noun, collapse bursting inward         
Importune,noun, beg urgently solicit (of a prostitute)      
Imprecation,noun, an invocation of evil a curse      
Impromptu,adjective, without preparation          
Impudent,adjective, rash indiscreet          
Impugned,adjective, challenged to be doubted        
Impute,verb, to attribute to a cause or source ascribe    
Inadvertent,adjective, not paying proper attention        
Inane,adjective, silly senseless          
Inasmuch,adjective, since because          
Incense,verb, make angry          
Incessant,adjective, often repeated continual         
Inchoate,adjective, not yet fully formed rudimentary elementary      
Incipient,noun, beginning         
Incise,verb, engrave make a cut in       
Incite,verb, stir up rouse         
Inclined,verb, directing the mind in a certain direction     
Incongruous,adjective, out of place not in harmony or agreement    
Incorrigibility,noun, cannot be cured or corrected       
Incredulous,adjective, skeptical unwilling to believe        
Inculcate,noun, fix firmly by repetition        
Incumbents,noun, official duties          
Incursion,noun, a raid a sudden attack       
Indefatigability,noun, not easily exhaustible tirelessness        
Indelible,adjective, that cannot be rubbed out       
Indigence,noun, poverty           
Indigenous,adjective, native           
Indistinct,adjective, not easily heard seen clearly marked      
Indolence,noun, laziness           
Indomitable,adjective, not easily discouraged or subdued       
Indulge,verb, gratify give way to satisfy allow oneself     
Indulgent,adjective, inclined to indulge         
Ineffable,adjective, to great to be described in words     
Ineluctable,adjective, certain inevitable          
Inept,adjective, unskillful said or done at the wrong time    
Ineptitude,noun, quality of being unskillful      
Inferno,noun, hell         
Infuriate,verb, fill with fury or rage       
Infuse,verb, put pour fill         
Ingenuous,adjective, naive young artless frank honest sincere      
Ingest,verb, take in by swallowing        
Inimical,adjective, harmful or friendly         
Inimitable,adjective, defying imitation unmatchable         
Innocuous,adjective, causing no harm         
Inscrutable,adjective, incapable of being discovered or understood      
Insensible,adjective, unconscious unresponsive unaffected         
Insinuate,verb, suggest unpleasantly make a way for something gently    
Insipid,adjective, without taste or flavor        
Insouciant,adjective, unconcerned carefree          
Insularity,noun, narrow-mindedness isolated          
Insurrection,noun, rising of people to open resistance to     
Interdict,verb, prohibit forbid          
Interim,adjective, as an installment         
Intersperse,verb, place here and there        
Intransigence,noun, unwillingness to compromise stubbornness intractability       
Intransigent,noun, uncompromising           
Intrepid,adjective, fearless brave undaunted         
Introspection,noun, examining one's own thoughts and feelings      
Inundate,verb, flood cover by overflowing        
Inured,adjective, accustomed to adapted         
Invective,adjective, abusive language curses         
Inveigh,verb, to attack verbally denounce deprecate       
Inveterate,adjective, deep-rooted. long-established          
Invincible,adjective, too strong to be defeated     
Involute,adjective, complex           
Irascible,adjective, irritable easily angered         
Irate,adjective, angry           
Ire,noun, anger           
Irksome,adjective, tiresome           
Irresolute,noun, hesitating undecided          
Irrevocable,adjective, final and unalterable         
Itinerate,adjective, to travel from place to place to peregrinate    
Jabber,verb, talk excitedly utter rapidly        
Jibe,noun, gibe make fun of        
Jocular,adjective, meant as a joke        
Judicious,adjective, sound in judgment wise        
Knit,verb, draw together unite firmly        
Labyrinthine,adjective, to entangle the state of affairs      
Lachrymose,adjective, causing tears tearful         
Lackluster,adjective, (of eyes) dull         
Lament,verb, show feel great sorrow        
Lassitude,noun, weariness tiredness          
Latent,adjective, present but not yet active developed or visible    
Laudatory,adjective, expressing or giving praise        
Lavish,adjective, giving or producing freely liberally or generously     
Legacy,noun, something handed down from ancestors       
Levee,noun, formal reception/embankment        
Levity,noun, lack of seriousness       
Libel,noun, statement that damages reputation        
Liberality,noun, free giving generosity         
Libertine,adjective, immoral person          
Lien,noun, legal claim until a debt on it is repaid   
Limn,verb, paint portray          
Limp,verb, lacking strength walking unevenly        
Lionize,verb, treat as a famous person     
Lithe,adjective, bending twisting          
Loll,verb, rest to sit or stand in a lazy way hang (dog's tongue)
Lope,verb, move along with long strides     
Loquacious,adjective, talkative garrulous          
Lucubrate,verb, write in scholarly fashion        
Luculent,adjective, easily understood lucid clear        
Lugubrious,adjective, mournful excessively sad         
Lull,noun, become quiet or less active       
Lumber,verb, move in a clumsy/noisy way     
Luminary,adjective, star light-giving body         
Lurk,verb, be out of view ready to attack   
Lustrous,adjective, being bright polished         
Macabre,adjective, gruesome suggesting death         
Macerate,verb, make or become soft by soaking in water  
Machination,noun, plot scheme (esp. evil)        
Maladroit,adjective, tactless clumsy          
Malapropism,noun, misuse of a word (for one that resembles it)   
Malevolence,noun, wishing to do evil        
Malign,verb, injurious speak ill of someone tell lie     
Malinger,verb, to fake illness or injury in order to shirk a duty 
Malleable,adjective, yielding easily shaped moldable adapting       
Manacle,noun, chains for the hands or feet      
Massacre,noun, cruel killing of a large number of people    
Matriculation,noun, be admitted enter a university as a student    
Maudlin,adjective, sentimental in a silly or tearful way     
Maul,verb, hurt by rough handling      
Maverick,noun, rebel nonconformist          
Mellifluous,adjective, sweetly flowing          
Mendacity,noun, dishonesty           
Mendicant,noun, a beggar          
Mercurial,adjective, quick changeable in character fleeting       
Meretricious,adjective, attractive on the surface but of little value    
Mesmerize,verb, hypnotize           
Meticulous,adjective, giving great attention to details       
Mettle,noun, quality of endurance or courage       
Mettlesome,adjective, courageous high-spirited          
Middling,adjective, fairly good but not very good      
Minatory,adjective, menacing threatening          
Mince,verb, pronounce or speak affectedly euphemize       
Misanthrope,noun, person who hates mankind        
Mischievous,adjective, harmful causing mischief         
Miser,noun, person who loves wealth and spends little     
Misogynist,noun, one who hates women/females        
Moderation,noun, quality of being limited not extreme      
Mollify,verb, make calmer or quieter        
Molt,adjective, moult lose hair feathers before new growing     
Morbid,adjective, diseased unhealthy (e.g.. about ideas)       
Morose,adjective, ill-tempered unsocial          
Muffler,noun, cloth worn round the neck/silencer     
Multifarious,adjective, varied motley greatly diversified        
Mundane,adjective, worldly as opposed to spiritual commonplace everyday     
Myriad,noun, very great number         
Nadir,noun, lowest weakest point         
Nascent,adjective, coming into existence emerging        
Nebulous,adjective, cloud-like hazy vague indistinct        
Negligent,adjective, taking too little care        
Neophyte,noun, person who has been converted to a belief    
Nexus,noun, a connection tie or link       
Nibble,verb, show some inclination to accept (an offer)     
Noisome,adjective, offensive disgusting (smell)         
Nonchalant,adjective, not having interest         
Nonplussed,adjective, greatly surprised          
Nostrum,noun, a quack remedy an untested cure      
Noxious,adjective, harmful           
Nugatory,adjective, trifling/worthless         
Obdurate,adjective, hardened and unrepenting stubborn inflexible       
Obfuscate,verb, to darken make obscure muddle       
Oblivious,adjective, unaware having no memory        
Obloquy,noun, abusively detractive language sharp criticism vituperation      
Obsequious,adjective, too eager to obey or serve      
Obstreperous,adjective, noisy loud          
Obtain,verb, to be established accepted or customary      
Obtrusive,adjective, projecting prominent undesirably noticeable        
Obtuse,adjective, blunt/stupid         
Obviate,verb, to make unnecessary get rid of      
Occluded,verb, blocked up          
Odious,adjective, repulsive hateful          
